cdmTableName,cdmFieldName,isRequired,cdmDatatype,userGuidance,etlConventions,isPrimaryKey,isForeignKey,fkTableName,fkFieldName,fkDomain,fkClass,unique DQ identifiers
location_history,start_iso_interval,No,varchar(55),Not part of OMOP CDM. See corresponding date variable. Allows for more uncertainty on the time.,NA,No,No,NA,NA,NA,NA,NA
location_history,end_iso_interval,No,varchar(55),Not part of OMOP CDM. See corresponding date variable. Allows for more uncertainty on the time.,NA,No,No,NA,NA,NA,NA,NA
location_history,location_history_id,Yes,bigint,Not part of OMOP CDM. The primary key for this table.,NA,Yes,No,NA,NA,NA,NA,NA
cohort,cohort_id,Yes,integer,Not part of OMOP CDM. The primary key for this table.,NA,Yes,No,NA,NA,NA,NA,NA
cdm_source,cdm_source_id,Yes,integer,Not part of OMOP CDM. The primary key for this table.,NA,Yes,No,NA,NA,NA,NA,NA
concept_relationship,concept_relationship_id,Yes,integer,Not part of OMOP CDM. The primary key for this table.,NA,Yes,No,NA,NA,NA,NA,NA
concept_ancestor,concept_ancestor_id,Yes,integer,Not part of OMOP CDM. The primary key for this table.,NA,Yes,No,NA,NA,NA,NA,NA
concept_synonym,concept_synonym_id,Yes,integer,Not part of OMOP CDM. The primary key for this table.,NA,Yes,No,NA,NA,NA,NA,NA
drug_strength,drug_strength_id,Yes,integer,Not part of OMOP CDM. The primary key for this table.,NA,Yes,No,NA,NA,NA,NA,NA
source_to_concept_map,source_to_concept_map_id,Yes,integer,Not part of OMOP CDM. The primary key for this table.,NA,Yes,No,NA,NA,NA,NA,NA
metadata,metadata_id,Yes,integer,Not part of OMOP CDM. The primary key for this table.,NA,Yes,No,NA,NA,NA,NA,NA
fact_relationship,fact_relationship_id,Yes,integer,Not part of OMOP CDM. The primary key for this table.,NA,Yes,No,NA,NA,NA,NA,NA
measurement_relation,measurement_relation_id,Yes,integer,Not part of OMOP CDM. The primary key for this table.,NA,Yes,No,NA,NA,NA,NA,NA
measurement_relation,person_id,Yes,integer,Not part of OMOP CDM. The PERSON_ID of the PERSON for whom the measurement is recorded. This may be a system generated code.,NA,No,Yes,PERSON,PERSON_ID,NA,NA,NA
measurement_relation,from_measurement_id,Yes,integer,Not part of OMOP CDM. The measurement from which the to measurement was derived.,NA,No,Yes,MEASUREMENT,MEASUREMENT_ID,NA,NA,NA
measurement_relation,to_measurement_id,Yes,integer,Not part of OMOP CDM. The measurement that was derived.,NA,No,Yes,MEASUREMENT,MEASUREMENT_ID,NA,NA,NA
measurement_relation,measurement_relation_concept_id,No,integer,Not part of OMOP CDM. The Concept Id that represents the relationship between the from and to measurement.,NA,No,Yes,CONCEPT,CONCEPT_ID,NA,NA,NA
